商品ID,商品名称,商品类别,价格,库存,销量,评分,评论数,上架周期,上架日期
PROD000001,固态硬盘,家用电器,176.09,59,37,5,20,28,2024/5/21
PROD000002,蓝牙音箱,智能家居,50,47,26,3.5,17,25,2024/5/24
PROD000003,显示器,存储设备,160.94,56,31,4.2,19,4,2024/6/14
PROD000004,智能手机,手机通讯,118.25,39,30,5,25,14,2024/6/4
PROD000005,智能手机,外设产品,106.76,61,27,4.2,24,17,2024/6/1
PROD000006,数码相机,存储设备,76.15,58,36,5,23,18,2024/5/31
PROD000007,平板电脑,影音娱乐,199.97,58,30,3.7,22,30,2024/5/19
PROD000008,固态硬盘,手机通讯,102.81,56,23,4.4,13,17,2024/6/1
PROD000009,充电器,存储设备,237.63,52,38,4.1,26,21,2024/5/28
PROD000010,固态硬盘,手机通讯,77.52,46,36,4.5,23,12,2024/6/6
PROD000011,显示器,智能家居,59.22,49,28,3.9,20,27,2024/5/22
PROD000012,智能手机,手机通讯,358.09,53,21,3.9,24,15,2024/6/3
PROD000013,数据线,智能家居,281.8,58,31,3.6,18,27,2024/5/22
PROD000014,路由器,数码配件,89,52,39,4.7,19,15,2024/6/3
PROD000015,智能手表,电源配件,109.07,41,27,3.8,15,10,2024/6/8
PROD000016,充电宝,影音娱乐,152.24,65,23,3.8,26,24,2024/5/25
PROD000017,电视,家用电器,229.41,36,32,3.7,20,12,2024/6/6
PROD000018,充电宝,影音娱乐,222.66,64,33,3.3,16,15,2024/6/3
PROD000019,数码相机,电脑办公,126.68,50,27,4.1,12,7,2024/6/11
PROD000020,数据线,手机通讯,144.48,50,27,3.7,22,7,2024/6/11
PROD000021,平板电脑,影音娱乐,173.62,51,31,4.7,21,9,2024/6/9
PROD000022,鼠标,存储设备,77.13,55,27,5,24,23,2024/5/26
PROD000023,智能手表,影音娱乐,129.73,63,32,4.1,27,5,2024/6/13
PROD000024,内存条,影音娱乐,161.27,45,32,5,23,6,2024/6/12
PROD000025,充电宝,影音娱乐,149.56,48,23,4.5,19,16,2024/6/2
PROD000026,耳机,存储设备,415.92,44,36,4.1,33,10,2024/6/8
PROD000027,耳机,家用电器,142.35,42,36,3.7,22,21,2024/5/28
PROD000028,电视,存储设备,67.1,47,29,4.4,21,3,2024/6/15
PROD000029,数码相机,影音娱乐,162.87,51,31,4.2,18,4,2024/6/14
PROD000030,投影仪,投影设备,115.02,56,25,4.1,23,8,2024/6/10
PROD000031,平板电脑,外设产品,163.3,43,37,4.6,20,21,2024/5/28
PROD000032,电视,数码配件,66.15,44,30,4.3,29,20,2024/5/29
PROD000033,充电宝,家用电器,187.63,42,23,4.4,19,16,2024/6/2
PROD000034,路由器,数码配件,219.98,50,28,3.7,19,7,2024/6/11
PROD000035,蓝牙音箱,家用电器,157.6,58,26,3.6,14,5,2024/6/13
PROD000036,智能手机,家用电器,91.07,56,32,4.4,14,28,2024/5/21
PROD000037,机械键盘,影音娱乐,183.66,62,40,3.9,14,22,2024/5/27
PROD000038,平板电脑,智能家居,113.85,42,36,3.8,21,1,2024/6/17
